2010 vs 2011,2011 vs 2012,2012 vs 2013,2013 vs 2014,2014 vs 2015,2015 vs 2016,2016 vs 2017,2017 vs 2018,2018 vs 2019,2019 vs 2020,2020 vs 2021,2021 vs 2022
metsa metsade mets 0.265% -> 0.454% (71.641%),relva relvade relvaluba 0.016% -> 0.119% (634.008%),direktiivi direktiiv ulevotmise 0.37% -> 0.738% (99.226%),ts parvlaeva parvlaevad 0.443% -> 0.772% (74.385%),pealinnast tallinnast viljandisse 0.139% -> 0.336% (140.969%),soita jalakaija konniteel 0.308% -> 0.609% (98.04%),muundatud geneetiliselt gmo 0.042% -> 0.147% (249.669%),kusija vastaja vastasin 0.021% -> 0.153% (629.615%),virumaale virumaa toostusalade 0.549% -> 0.861% (56.917%),joustumine joustuma joustada 0.61% -> 0.976% (60.091%),psuhhiaatri alaealine psuhhiaatrilist 0.954% -> 1.302% (36.501%),kaasne lisakulutusi riigieelarvele 0.106% -> 0.277% (162.093%)
kandidaadi kandidaati kandidaat 0.076% -> 0.195% (157.462%),prokuratuur prokuratuuri prokuror 0.925% -> 1.257% (35.927%),mes maale maaelu 0.026% -> 0.232% (776.593%),kodualuse maamaksu maamaksust 0.295% -> 0.57% (92.967%),inflatsiooni inflatsioon hinnatous 0.076% -> 0.238% (212.925%),vaesuses suhtelises vaesuse 0.084% -> 0.284% (238.034%),rahvuse rahvust rahvusriik 0.651% -> 0.934% (43.413%),tootuid tootute tootu 0.073% -> 0.23% (212.692%),vagivallale vihakone ohutamine 0.638% -> 0.969% (51.817%),danske filiaali rahapesu 0.161% -> 0.382% (136.354%),vabatahtlike komandode paasteameti 0.213% -> 0.399% (87.049%),rahapesu terrorismi andmeburoo 0.094% -> 0.258% (175.198%)
oppelaenu sugava puudega 0.076% -> 0.195% (157.462%),uuring uuringut uuringu 0.227% -> 0.41% (80.589%),tapsustatakse ajakohastatakse nouete 0.384% -> 0.738% (92.356%),riigipalgaliste riigisektoris koondada 0.084% -> 0.266% (215.179%),loomi loomade loomad 0.152% -> 0.35% (130.092%),nord stream streami 0.126% -> 0.336% (167.089%),hansson ardo panga 0.158% -> 0.315% (99.811%),abipolitseinik abipolitseiniku abipolitseinike 0.021% -> 0.14% (568.813%),rahapesu terrorismi andmeburoo 0.14% -> 0.323% (130.026%),efsf esm kreekale 0.323% -> 0.595% (84.217%),muugimaksu muugimaks paadimaksu 0.011% -> 0.106% (840.747%),direktiivi direktiiv ulevotmise 0.762% -> 1.107% (45.159%)
keskkonnaameti uhendamine uhendamise 0.113% -> 0.243% (114.552%),valimisea valimisiga valimisoiguse 0.114% -> 0.251% (121.367%),reklaami reklaam alkoholireklaam 0.079% -> 0.295% (271.888%),toonadalal istungid taiendaval 0.675% -> 1.051% (55.714%),eripensioni valjateenitud staazi 0.038% -> 0.168% (341.776%),hoone rkas hoonet 0.419% -> 0.704% (67.765%),toonadalal istungid taiendaval 0.515% -> 0.766% (48.839%),valdkonnad laekumisest fikseeritakse 0.073% -> 0.217% (195.32%),louis freeh kremli 0.191% -> 0.395% (106.172%),abipolitseinik abipolitseiniku abipolitseinike 0.072% -> 0.224% (212.821%),oigusriik oigusriigi oigusriigist 0.292% -> 0.493% (68.852%),piima toorpiima toodangut 0.152% -> 0.332% (117.739%)
ugri rahvaste polisrahvaste 0.05% -> 0.146% (189.645%),seksuaalse vangistusega vaarkohtlemise 0.016% -> 0.106% (552.451%),taanis saksamaal hollandis 0.635% -> 1.054% (66.021%),soita jalakaija konniteel 0.485% -> 0.81% (67.051%),ammendumiseni kaheni pikendada 0.076% -> 0.224% (194.518%),tantsupeo laulu traditsiooni 0.042% -> 0.168% (300.633%),terviseandmed isikuandmeid terviseandmeid 0.441% -> 0.672% (52.237%),palgatousu opetajate palgatous 0.514% -> 0.804% (56.346%),president ilves presidendi 0.026% -> 0.143% (462.286%),tarbijakaitse amet ametile 0.179% -> 0.382% (112.718%),vagivallale vihakone ohutamine 1.234% -> 1.607% (30.184%),tarbijakaitse amet ametile 0.364% -> 0.609% (67.401%)
valimiskomisjon proteste valimiskasti 0.05% -> 0.146% (189.645%),liiklussurmade liikluses hukkunute 0.389% -> 0.609% (56.316%),koolilouna koolitoidu koolitoit 0.198% -> 0.464% (133.758%),pensionitous pensionitousu pension 0.358% -> 0.646% (80.102%),miili baasvorgu lairiba 0.076% -> 0.224% (194.518%),kohtla jarve johvi 0.154% -> 0.326% (111.698%),tsernoboli represseeritud oigusvastaselt 0.011% -> 0.094% (799.15%),teede teehoiuks teedele 0.084% -> 0.23% (173.605%),viirust vaktsineeritud viiruse 0.089% -> 0.233% (161.061%),eelarves riigieelarves reservist 1.22% -> 1.661% (36.169%),kantsler kantsleri riigisekretar 0.079% -> 0.199% (153.852%),kusija vastaja vastasin 0.129% -> 0.277% (114.44%)
kauguhendus avaksite ettekandjalt 0.101% -> 0.211% (109.188%),sularaha kommertspangad pangad 0.097% -> 0.225% (131.077%),iive sundimus iibe 0.344% -> 0.654% (90.031%),ulejaagis struktuurses struktuurse 1.223% -> 1.696% (38.7%),president ilves presidendi 0.063% -> 0.196% (209.244%),hambaravi hammaste hambad 0.126% -> 0.284% (125.356%),palgalohe soolist meeste 0.641% -> 0.902% (40.85%),tantsupeo laulu traditsiooni 0.22% -> 0.421% (91.09%),elatisraha elatisabi elatise 0.102% -> 0.251% (146.0%),hooldekodus hoolduse hooldekodu 0.556% -> 0.853% (53.383%),nord stream streami 0.056% -> 0.164% (192.677%),keskkonnaameti uhendamine uhendamise 0.106% -> 0.24% (127.147%)
oigusloome oigusloomes oiguspoliitika 0.126% -> 0.243% (93.096%),objekti anu raua 0.13% -> 0.251% (93.696%),arengufond arengufondi arengufondis 0.953% -> 1.392% (46.099%),rongi rongide rongid 0.127% -> 0.316% (150.142%),riigikontrolli auditi auditit 0.405% -> 0.657% (62.215%),vaikesaarte saarte pusiasustusega 0.112% -> 0.263% (134.746%),kodakondsust kodakondsuse kodanikuks 0.231% -> 0.399% (72.564%),teenistuse teenistuses avalikus 0.105% -> 0.242% (131.045%),mes maale maaelu 0.128% -> 0.269% (110.857%),toonadalal istungid taiendaval 1.166% -> 1.537% (31.866%),kusija vastaja vastasin 0.034% -> 0.129% (283.267%),talupidajate kaubanduskoja kaubanduskoda 0.023% -> 0.111% (371.768%)
direktiivi direktiiv ulevotmise 0.29% -> 0.454% (56.716%),hooldekodus hoolduse hooldekodu 0.211% -> 0.357% (69.386%),veb fondi uurimiskomisjon 0.053% -> 0.211% (298.452%),etv saateid pbk 0.148% -> 0.342% (131.56%),huvihariduse huvitegevuse huviharidus 0.076% -> 0.21% (176.11%),muraste kase kompleksi 0.098% -> 0.242% (146.819%),vallaga vald sauga 2.311% -> 2.76% (19.433%),elatisraha elatisabi elatise 0.01% -> 0.102% (872.82%),arengukavad arengukavade pohialuste 0.906% -> 1.22% (34.632%),salastatud valisteabe riigisaladuse 0.126% -> 0.269% (114.506%),riigimetsa majandamise noukokku 0.045% -> 0.141% (213.582%),vagivalla naistevastase perevagivalla 0.023% -> 0.111% (371.768%)
valispoliitika valispoliitikas diplomaatia 0.353% -> 0.519% (47.121%),estonian air airi 0.162% -> 0.291% (79.424%),huvihariduse huvitegevuse huviharidus 0.013% -> 0.169% (1175.045%),tootuna arvele ariuhingu 0.084% -> 0.241% (185.162%),arengufond arengufondi arengufondis 0.785% -> 1.105% (40.727%),arengukavad arengukavade pohialuste 0.797% -> 1.124% (41.012%),uuring uuringut uuringu 0.284% -> 0.462% (62.809%),volakirjade keskpank volakirju 0.22% -> 0.396% (79.508%),salastatud valisteabe riigisaladuse 0.038% -> 0.126% (228.0%),uhistranspordi uhistransport uhistransporti 0.072% -> 0.191% (165.898%),treenerite spordi sport 0.18% -> 0.328% (82.923%),puude raskusastme puuet 0.164% -> 0.314% (90.954%)
majandusaasta koondaruanne raamatupidamise 0.328% -> 0.487% (48.536%),rahvahaaletuse rahvahaaletus rahvahaaletusel 0.049% -> 0.132% (171.855%),liibanonis missioonil pikendamine 0.185% -> 0.401% (116.302%),apteeke apteegid apteekide 0.675% -> 1.013% (50.085%),tulubaasi tasandusfondi tulumaksuosa 0.329% -> 0.545% (65.666%),tooandja tooandjal tootaja 0.154% -> 0.305% (98.04%),untso missioonide liikmesusest 0.252% -> 0.42% (66.509%),utah jordaania energia 0.042% -> 0.14% (234.407%),kasvavad tuleval kasv 0.14% -> 0.269% (91.688%),kohtutaiturite kohtutaitur kohtutaituri 0.197% -> 0.359% (82.005%),toonadalal istungid taiendaval 1.537% -> 1.9% (23.602%),vanemahuvitist vanemahuvitise vanemahuvitis 0.164% -> 0.314% (90.954%)
puude raskusastme puuet 0.076% -> 0.162% (114.552%),arengufond arengufondi arengufondis 0.714% -> 0.953% (33.456%),kandidaadi kandidaati kandidaat 0.132% -> 0.316% (139.071%),teede teehoiuks teedele 1.771% -> 2.279% (28.645%),valismaale valjarande valjaranne 0.291% -> 0.489% (68.067%),pealinnast tallinnast viljandisse 0.336% -> 0.536% (59.627%),kandideerima ametikohale kandidaatide 0.084% -> 0.189% (124.788%),keeleoskust oskuse keeleoskuse 0.178% -> 0.332% (85.98%),valimisea valimisiga valimisoiguse 0.077% -> 0.179% (134.286%),ugri rahvaste polisrahvaste 0.036% -> 0.123% (244.103%),kutsehariduse kutseharidus kutsehariduses 0.157% -> 0.293% (86.656%),normitehnika mojude eeskiri 0.235% -> 0.406% (72.981%)
tsernoboli represseeritud oigusvastaselt 0.088% -> 0.178% (102.291%),eelarvele kulude riigieelarvele 0.454% -> 0.635% (39.811%),haale valimispaeval valimiste 0.582% -> 0.907% (55.758%),uhistranspordi uhistransport uhistransporti 0.337% -> 0.582% (72.598%),nord stream streami 0.038% -> 0.126% (231.332%),haaletamissedel haaletamiskasti sedeli 0.042% -> 0.137% (225.515%),ametipalkade riigiteenijate korgemate 0.063% -> 0.157% (149.764%),kaibemaksu kaibemaks kaibemaksumaara 0.189% -> 0.345% (82.404%),jaatmeid liigiti prugi 0.115% -> 0.233% (103.048%),abielu kooselu samasooliste 0.466% -> 0.685% (46.785%),idapiiri piiririba valjaehitamine 0.135% -> 0.258% (91.634%),teenuseid teenused teenust 0.07% -> 0.166% (135.884%)
kutsehariduse kutseharidus kutsehariduses 0.252% -> 0.389% (54.477%),nord stream streami 0.162% -> 0.278% (71.268%),oigusloome oigusloomes oiguspoliitika 0.093% -> 0.253% (173.224%),rail trassi balticu 0.401% -> 0.658% (64.304%),louis freeh kremli 0.013% -> 0.084% (562.665%),uhistranspordi uhistransport uhistransporti 0.084% -> 0.2% (137.876%),liibanonis missioonil pikendamine 0.221% -> 0.367% (66.509%),tootuli lepitaja ametiuhingute 0.021% -> 0.102% (386.41%),lahususe voimude lahusus 0.255% -> 0.413% (61.657%),estonian air airi 0.054% -> 0.146% (171.112%),teekasutustasu autode autod 0.045% -> 0.129% (187.451%),eripensioni valjateenitud staazi 0.07% -> 0.166% (135.884%)
kaibemaksu kaibemaks kaibemaksumaara 1.323% -> 1.606% (21.375%),pensioniiga pensioniea eluiga 0.146% -> 0.251% (72.175%),riigireformi riigireformist riigireform 0.053% -> 0.19% (258.606%),pensioni pension sammas 0.084% -> 0.228% (170.154%),haiguspaevade haiguspaevi haiguspaeva 0.013% -> 0.084% (562.665%),salastatud valisteabe riigisaladuse 0.14% -> 0.273% (95.309%),seksuaalse vangistusega vaarkohtlemise 0.053% -> 0.136% (159.754%),korterid kortereid korterit 0.252% -> 0.421% (67.203%),loomi loomade loomad 0.345% -> 0.52% (50.984%),arengukavad arengukavade pohialuste 1.22% -> 1.537% (26.049%),arengukavad arengukavade pohialuste 1.537% -> 1.877% (22.076%),abipolitseinik abipolitseiniku abipolitseinike 0.023% -> 0.092% (293.14%)
ene ergma aplaus 0.126% -> 0.227% (80.223%),haale valimispaeval valimiste 0.422% -> 0.582% (38.019%),huvigruppe huvigruppide kaasatud 1.125% -> 1.539% (36.88%),kandideerima ametikohale kandidaatide 0.021% -> 0.127% (500.341%),riigireformi riigireformist riigireform 0.203% -> 0.35% (72.569%),utah jordaania energia 0.098% -> 0.21% (114.625%),lasteaia lasteaias lasteaiakoha 0.294% -> 0.451% (53.426%),pagulasi pagulased pagulaste 0.294% -> 0.472% (60.689%),magustatud suhkrut joogi 0.013% -> 0.072% (462.286%),annetused annetusi annetuste 0.072% -> 0.168% (134.616%),virumaale virumaa toostusalade 0.651% -> 0.868% (33.363%),kaitseliit kaitseliidule kaitseliidu 0.809% -> 1.051% (29.907%)
teadus teaduse arendustegevuse 0.365% -> 0.519% (42.048%),suuria euroopasse turgis 0.016% -> 0.066% (307.782%),liiklussurmade liikluses hukkunute 0.609% -> 0.907% (48.986%),korrata stenogrammist vabandan 0.021% -> 0.127% (500.341%),haale valimispaeval valimiste 0.101% -> 0.21% (107.083%),kutsehariduse kutseharidus kutsehariduses 0.35% -> 0.536% (53.242%),korrata stenogrammist vabandan 0.042% -> 0.115% (174.74%),ajakirjandus ajakirjanduse ajakirjandust 0.388% -> 0.587% (51.181%),apteeke apteegid apteekide 0.919% -> 1.166% (26.905%),volakirjade keskpank volakirju 0.305% -> 0.471% (54.571%),palgalohe soolist meeste 0.191% -> 0.317% (66.014%),riigiloivude riigiloivud riigiloivu 0.094% -> 0.184% (96.57%)
kandideerima ametikohale kandidaatide 0.05% -> 0.114% (125.279%),valdkonnad laekumisest fikseeritakse 0.016% -> 0.066% (307.782%),kohtla jarve johvi 0.119% -> 0.274% (130.216%),vabatahtlike komandode paasteameti 0.253% -> 0.456% (80.102%),tulubaasi omavalitsustele omavalitsuste 0.772% -> 1.021% (32.171%),kontrollin haaled kandidaadi 0.014% -> 0.084% (500.95%),ametiuhingute tooandjate keskliit 0.294% -> 0.441% (49.858%),jarviku jarvik maaeluministri 0.409% -> 0.612% (49.665%),riigiabi komisjonilt loa 0.255% -> 0.395% (54.629%),koolituse koolitus koolitusele 0.036% -> 0.112% (212.821%),raamatukogu pimedate raamatukogude 0.056% -> 0.129% (129.96%),piirilepingu piirileping piirilepingut 0.727% -> 0.941% (29.356%)
ammendumiseni kaheni pikendada 0.239% -> 0.357% (49.057%),opositsiooni koalitsioonil opositsioonil 0.13% -> 0.225% (73.307%),fie fuusilisest isikust 0.093% -> 0.232% (150.455%),puude raskusastme puuet 0.021% -> 0.114% (440.307%),oigusloome oigusloomes oiguspoliitika 0.177% -> 0.308% (73.555%),vagivalla naistevastase perevagivalla 0.252% -> 0.41% (62.757%),ugri rahvaste polisrahvaste 0.053% -> 0.126% (139.773%),maantee neljarealiseks ppp 0.168% -> 0.306% (82.404%),korteriuhistu korteriomanike korteriuhistute 0.051% -> 0.126% (146.0%),vagivallale vihakone ohutamine 0.969% -> 1.234% (27.446%),tootuli lepitaja ametiuhingute 0.011% -> 0.059% (422.637%),toovoimereformi toovoimega toovoimereform 0.082% -> 0.166% (102.186%)
abielu kooselu samasooliste 0.076% -> 0.146% (93.096%),elatisraha elatisabi elatise 0.081% -> 0.159% (95.735%),piirikontrolli schengeni valispiiri 0.04% -> 0.148% (271.888%),kaitsekulud kaitsekulutused kaitsekulude 0.021% -> 0.114% (440.307%),valijate erakonda valijaid 0.582% -> 0.797% (36.855%),kohtutaiturite kohtutaitur kohtutaituri 0.084% -> 0.179% (112.836%),noukogudesse ariuhingute noukogudes 0.378% -> 0.535% (41.533%),kandidaati kandidaat valituks 0.105% -> 0.217% (106.724%),ammendumiseni kaheni pikendada 0.293% -> 0.413% (40.572%),riigikontrolor karis riigikontrolori 0.054% -> 0.135% (150.257%),president ilves presidendi 0.067% -> 0.141% (109.055%),ajakirjandus ajakirjanduse ajakirjandust 0.27% -> 0.406% (50.419%)
riigimetsa majandamise noukokku 0.151% -> 0.243% (60.914%),tooandja tooandjal tootaja 0.195% -> 0.304% (56.316%),majandusaasta koondaruanne raamatupidamise 0.397% -> 0.633% (59.381%),hoiu pangad pankade 0.084% -> 0.203% (140.137%),borsile ipo enefit 0.19% -> 0.322% (69.348%),raamatukogu pimedate raamatukogude 0.014% -> 0.074% (425.831%),kusimusena tahtsa tahtsusega 0.116% -> 0.21% (81.646%),oiglase virumaale ulemineku 0.052% -> 0.14% (167.525%),kolledz kolledzi turi 0.051% -> 0.108% (110.857%),tulubaasi omavalitsustele omavalitsuste 0.305% -> 0.46% (50.89%),teenistuse teenistuses avalikus 0.112% -> 0.199% (77.697%),valismaale valjarande valjaranne 0.152% -> 0.258% (69.352%)
oigusriik oigusriigi oigusriigist 0.113% -> 0.195% (71.641%),annetused annetusi annetuste 0.114% -> 0.198% (74.764%),valijate erakonda valijaid 0.265% -> 0.464% (75.319%),ene ergma aplaus 0.148% -> 0.291% (97.255%),annetus erjk annetuse 0.038% -> 0.112% (194.518%),kirik kiriku maarja 0.07% -> 0.158% (125.356%),riigimetsa majandamise noukokku 0.063% -> 0.136% (116.462%),kontroll kohaloleku registreeris 0.01% -> 0.077% (629.615%),ajakirjandus ajakirjanduse ajakirjandust 0.587% -> 0.735% (25.292%),inimarengu aruanne aruandes 0.197% -> 0.325% (64.942%),teadus teaduse arendustegevuse 0.909% -> 1.126% (23.884%),mes maale maaelu 0.141% -> 0.24% (70.361%)
hansson ardo panga 0.013% -> 0.049% (286.193%),vagivallale vihakone ohutamine 0.357% -> 0.49% (37.163%),virumaale virumaa toostusalade 0.357% -> 0.569% (59.381%),vagivallale vihakone ohutamine 0.253% -> 0.43% (70.097%),estonian air airi 0.215% -> 0.35% (62.418%),hansson ardo panga 0.07% -> 0.158% (125.356%),slovakkia ungari portugal 0.578% -> 0.756% (30.785%),vaesuses suhtelises vaesuse 0.063% -> 0.153% (143.205%),teenistuse teenistuses avalikus 0.242% -> 0.341% (40.572%),valimiskomisjon proteste valimiskasti 0.09% -> 0.18% (100.206%),opositsioonis koalitsiooni opositsiooni 1.784% -> 2.065% (15.703%),tulubaasi tasandusfondi tulumaksuosa 0.129% -> 0.221% (71.552%)
opositsioonis koalitsiooni opositsiooni 0.693% -> 0.86% (24.05%),moisteid moiste moisted 0.6% -> 0.767% (27.845%),soita jalakaija konniteel 0.291% -> 0.485% (66.625%),korruptsiooni korruptsioon korruptsiooniga 0.063% -> 0.165% (160.148%),danske filiaali rahapesu 0.025% -> 0.084% (231.332%),lipud lippude lipp 0.028% -> 0.095% (238.034%),taanis saksamaal hollandis 0.42% -> 0.567% (34.873%),muuseum muuseumi muuseumide 0.136% -> 0.255% (87.081%),fie fuusilisest isikust 0.115% -> 0.179% (56.191%),humni humn laulda 0.018% -> 0.067% (275.386%),uhistranspordi uhistransport uhistransporti 0.191% -> 0.293% (53.717%),matusetoetust matusetoetus matusetoetuse 0.012% -> 0.055% (371.768%)
rail trassi balticu 0.239% -> 0.341% (42.282%),salastatud valisteabe riigisaladuse 0.049% -> 0.106% (117.484%),maavalitsuste maavalitsused maakonna 0.344% -> 0.548% (59.381%),leping ratifitseerida lepinguga 0.506% -> 0.709% (40.08%),operatsioonil sojalisel panustamisel 0.025% -> 0.084% (231.332%),majandusaasta koondaruanne raamatupidamise 0.14% -> 0.242% (72.773%),karistuse karistus tingimisi 1.145% -> 1.375% (20.07%),skais arendused infosusteemide 0.304% -> 0.459% (50.955%),valijate erakonda valijaid 0.408% -> 0.52% (27.393%),talupidajate kaubanduskoja kaubanduskoda 0.072% -> 0.146% (103.334%),karistuse karistus tingimisi 0.483% -> 0.633% (31.267%),laari laar kandidatuuri 0.012% -> 0.055% (371.768%)
hambaravi hammaste hambad 0.315% -> 0.422% (33.88%),borsile ipo enefit 0.341% -> 0.463% (35.927%),varude varud varu 0.053% -> 0.148% (178.916%),tooandja tooandjal tootaja 0.169% -> 0.291% (72.598%),ooteala piiriuletuse piiripunkti 0.063% -> 0.14% (120.888%),ootuse oigusparase oiguskindluse 0.168% -> 0.273% (62.757%),annetus erjk annetuse 0.084% -> 0.157% (87.323%),teatri teater rahvusooper 0.042% -> 0.115% (173.605%),objekti anu raua 0.089% -> 0.143% (60.653%),hoiu pangad pankade 0.09% -> 0.168% (87.693%),iive sundimus iibe 0.146% -> 0.235% (60.812%),tantsupeo laulu traditsiooni 0.082% -> 0.148% (79.721%)
muraste kase kompleksi 0.05% -> 0.097% (93.096%),hoiu pangad pankade 0.032% -> 0.079% (144.669%),valitsemisalade katteallikaks riigieelarves 0.04% -> 0.127% (218.761%),haalte kandidaatidele haaletamisest 0.042% -> 0.114% (170.154%),valispoliitika valispoliitikas diplomaatia 0.329% -> 0.475% (44.427%),kauguhendus avaksite ettekandjalt 0.112% -> 0.2% (78.407%),kutsehariduse kutseharidus kutsehariduses 0.536% -> 0.693% (29.29%),kodualuse maamaksu maamaksust 0.052% -> 0.128% (143.205%),reklaami reklaam alkoholireklaam 0.064% -> 0.108% (68.686%),teenuseid teenused teenust 0.09% -> 0.168% (87.693%),kinnisasja maad maa 0.213% -> 0.317% (48.539%),konkurss konkursi konkurssi 0.07% -> 0.129% (83.465%)
danske filiaali rahapesu 0.05% -> 0.097% (93.096%),volitust kaasuses jarvik 0.032% -> 0.079% (144.669%),ugri rahvaste polisrahvaste 0.013% -> 0.084% (537.522%),ootuse oigusparase oiguskindluse 0.295% -> 0.443% (50.085%),riigimetsa majandamise noukokku 0.076% -> 0.154% (102.481%),prokuratuur prokuratuuri prokuror 0.727% -> 0.924% (27.124%),tervist tervis tervisega 0.042% -> 0.094% (124.788%),erso teatri kontserdi 0.021% -> 0.077% (264.807%),inflatsiooni inflatsioon hinnatous 0.051% -> 0.09% (75.714%),tooandja tervisesse maksuvabalt 0.09% -> 0.168% (87.693%),memorandumi moistmise memorandum 0.011% -> 0.047% (318.11%),volakirjade keskpank volakirju 0.282% -> 0.387% (37.599%)
liitlaste ohutorje keskmaa 0.101% -> 0.162% (60.914%),raamatukogu pimedate raamatukogude 0.032% -> 0.079% (144.669%),opositsiooni koalitsioonil opositsioonil 0.225% -> 0.38% (68.756%),muraste kase kompleksi 0.063% -> 0.139% (120.125%),muuseum muuseumi muuseumide 0.038% -> 0.098% (157.703%),leping ratifitseerida lepinguga 0.629% -> 0.809% (28.537%),pealinnast tallinnast viljandisse 0.536% -> 0.682% (27.331%),volitust kaasuses jarvik 0.073% -> 0.153% (108.461%),ene ergma aplaus 0.013% -> 0.036% (181.143%),erimargistatud kutust kutuse 0.126% -> 0.213% (69.817%),hoone rkas hoonet 0.292% -> 0.399% (36.69%),iive sundimus iibe 0.235% -> 0.332% (41.53%)
veb fondi uurimiskomisjon 0.088% -> 0.146% (65.511%),kolledz kolledzi turi 0.016% -> 0.053% (226.226%),omandireformi tagastatud omandireform 0.106% -> 0.211% (99.226%),oiglase virumaale ulemineku 0.021% -> 0.076% (260.205%),lae korgepalgaliste lagi 0.051% -> 0.112% (120.888%),kontroll kohaloleku registreeris 0.084% -> 0.158% (87.797%),planeeringu keskkonnamoju keskkonnamojude 0.137% -> 0.21% (53.701%),elektri elektrit taastuvenergia 0.745% -> 0.944% (26.741%),haalte kandidaatidele haaletamisest 0.038% -> 0.072% (87.429%),korrata stenogrammist vabandan 0.036% -> 0.09% (150.257%),aasia aasias saatkonna 0.404% -> 0.528% (30.659%),aituma infotundi jahimehed 0.129% -> 0.203% (57.256%)
korterid kortereid korterit 0.265% -> 0.357% (34.861%),louis freeh kremli 0.016% -> 0.053% (226.226%),kaibemaksu kaibemaks kaibemaksumaara 0.662% -> 0.886% (33.88%),koneleja konsensuslikud repliigi 0.021% -> 0.076% (260.205%),taanis saksamaal hollandis 0.418% -> 0.559% (33.872%),korruptsiooni korruptsioon korruptsiooniga 0.126% -> 0.21% (66.931%),ulikooliga kbfi instituudi 0.189% -> 0.273% (44.308%),liibanonis missioonil pikendamine 0.367% -> 0.51% (38.974%),teadus teaduse arendustegevuse 1.072% -> 1.22% (13.796%),jalitustegevuse jalitustoimingu sideandmete 0.054% -> 0.112% (108.548%),kandideerima ametikohale kandidaatide 0.09% -> 0.152% (69.857%),apteeke apteegid apteekide 0.129% -> 0.203% (57.256%)
inflatsiooni inflatsioon hinnatous 0.441% -> 0.552% (25.053%),varude varud varu 0.016% -> 0.053% (226.226%),kala kalurid kalurite 0.172% -> 0.295% (71.641%),kohanimenoukogu vonnu mulgi 0.021% -> 0.063% (200.171%),riigiloivude riigiloivud riigiloivu 0.481% -> 0.629% (30.789%),puude raskusastme puuet 0.042% -> 0.095% (125.356%),pensioni pension sammas 0.2% -> 0.283% (41.971%),pensionifondide pensionifondid fondid 0.336% -> 0.472% (40.603%),psuhhiaatri alaealine psuhhiaatrilist 0.408% -> 0.502% (23.0%),ootuse oigusparase oiguskindluse 0.072% -> 0.135% (87.693%),normitehnika mojude eeskiri 0.157% -> 0.235% (49.325%),ulejaagis struktuurses struktuurse 0.516% -> 0.646% (25.09%)
